Base de Dados,Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
JAFFE,alexnet-17800,Raiva,0.62,0.62,0.62,0.618
JAFFE,alexnet-17800,Desgosto,0.57,0.36,0.44,0.618
JAFFE,alexnet-17800,Medo,0,0,0,0.618
JAFFE,alexnet-17800,Felicidade,0.93,0.93,0.93,0.618
JAFFE,alexnet-17800,Tristeza,0.5,0.4,0.44,0.618
JAFFE,alexnet-17800,Surpresa,0.67,0.8,0.73,0.618
JAFFE,alexnet-17800,Neutralidade,0,0,0,0.618
JAFFE,alexnet-17800,Média/Total,0.65,0.62,0.63,0.618
JAFFE,inceptionV3-34000,Raiva,0.45,0.62,0.53,0.636
JAFFE,inceptionV3-34000,Desgosto,0.6,0.27,0.37,0.636
JAFFE,inceptionV3-34000,Medo,0.5,0.5,0.5,0.636
JAFFE,inceptionV3-34000,Felicidade,0.93,0.93,0.93,0.636
JAFFE,inceptionV3-34000,Tristeza,0.44,0.4,0.42,0.636
JAFFE,inceptionV3-34000,Surpresa,0.82,0.9,0.86,0.636
JAFFE,inceptionV3-34000,Neutralidade,0,0,0,0.636
JAFFE,inceptionV3-34000,Média/Total,0.67,0.64,0.64,0.636
JAFFE,resnet-11250,Raiva,0.8,0.5,0.62,0.654
JAFFE,resnet-11250,Desgosto,0.71,0.45,0.56,0.654
JAFFE,resnet-11250,Medo,1,0.5,0.67,0.654
JAFFE,resnet-11250,Felicidade,1,0.64,0.78,0.654
JAFFE,resnet-11250,Tristeza,0.58,0.7,0.64,0.654
JAFFE,resnet-11250,Surpresa,0.53,1,0.69,0.654
JAFFE,resnet-11250,Neutralidade,0,0,0,0.654
JAFFE,resnet-11250,Média/Total,0.75,0.65,0.67,0.654
