Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
Resnet32-8600,Raiva,0.64,0.65,0.64,0.753
Resnet32-8600,Desgosto,0.73,0.63,0.68,0.753
Resnet32-8600,Medo,0.46,0.52,0.49,0.753
Resnet32-8600,Felicidade,0.93,0.85,0.89,0.753
Resnet32-8600,Tristeza,0.73,0.58,0.65,0.753
Resnet32-8600,Surpresa,0.84,0.83,0.84,0.753
Resnet32-8600,Neutralidade,0.6,0.79,0.68,0.753
Resnet32-8600,Média/Total,0.77,0.75,0.76,0.753
Resnet32-9600,Raiva,0.37,0.87,0.52,0.727
Resnet32-9600,Desgosto,0.7,0.65,0.67,0.727
Resnet32-9600,Medo,0.58,0.47,0.52,0.727
Resnet32-9600,Felicidade,0.91,0.87,0.89,0.727
Resnet32-9600,Tristeza,0.71,0.53,0.61,0.727
Resnet32-9600,Surpresa,0.82,0.82,0.82,0.727
Resnet32-9600,Neutralidade,0.77,0.55,0.64,0.727
Resnet32-9600,Média/Total,0.77,0.73,0.74,0.727
Resnet32-10625,Raiva,0.8,0.51,0.62,0.75
Resnet32-10625,Desgosto,0.84,0.54,0.66,0.75
Resnet32-10625,Medo,0.63,0.34,0.44,0.75
Resnet32-10625,Felicidade,0.89,0.9,0.89,0.75
Resnet32-10625,Tristeza,0.51,0.78,0.61,0.75
Resnet32-10625,Surpresa,0.75,0.88,0.81,0.75
Resnet32-10625,Neutralidade,0.69,0.66,0.68,0.75
Resnet32-10625,Média/Total,0.76,0.75,0.74,0.75
Resnet32-11250,Raiva,0.69,0.57,0.62,0.757
Resnet32-11250,Desgosto,0.79,0.66,0.72,0.757
Resnet32-11250,Medo,0.45,0.5,0.47,0.757
Resnet32-11250,Felicidade,0.9,0.89,0.9,0.757
Resnet32-11250,Tristeza,0.6,0.65,0.63,0.757
Resnet32-11250,Surpresa,0.82,0.86,0.84,0.757
Resnet32-11250,Neutralidade,0.67,0.68,0.68,0.757
Resnet32-11250,Média/Total,0.76,0.76,0.76,0.757
Resnet32-14200,Raiva,0.74,0.55,0.63,0.74
Resnet32-14200,Desgosto,0.86,0.52,0.65,0.74
Resnet32-14200,Medo,0.56,0.48,0.52,0.74
Resnet32-14200,Felicidade,0.83,0.92,0.87,0.74
Resnet32-14200,Tristeza,0.61,0.69,0.65,0.74
Resnet32-14200,Surpresa,0.68,0.9,0.77,0.74
Resnet32-14200,Neutralidade,0.74,0.55,0.63,0.74
Resnet32-14200,Média/Total,0.74,0.74,0.73,0.74
